feature,real_mean,synthetic_mean,real_std,synthetic_std,abs_mean_diff_std_units,ks_statistic,wasserstein_distance,normalized_wasserstein
mean radius,14.067213186813188,14.199692376026723,3.499379711025979,3.6495907417110596,0.037857906301541115,0.03736263736263736,0.19612094898225085,0.056044489360301625
mean texture,19.247362637362635,19.240847768289374,4.405290780595141,4.366265620172262,0.0014788737901157251,0.06813186813186813,0.5199340557396669,0.1180249117787919
mean perimeter,91.5574065934066,92.39975857184884,24.14923092051545,25.04390157931335,0.03488110992912145,0.035164835164835165,1.3849695127474186,0.05735046044761816
mean area,648.541098901099,663.8017869742222,344.94456376884625,358.8056332490447,0.044240987323834705,0.04395604395604396,24.56558507993758,0.07121603776425778
mean smoothness,0.09616742857142857,0.09572771384045149,0.013457714006497524,0.013962926062846569,0.03267380557833072,0.05054945054945055,0.0009371014183493448,0.06963303112972252
mean compactness,0.10386890109890111,0.1028103456592494,0.053521662201214806,0.05392529759045523,0.019778074822715055,0.04835164835164835,0.004292973300870232,0.08021001449339875
mean concavity,0.08919332241758242,0.09229220715804153,0.081746944862461,0.07967893244964834,0.03790826367484402,0.05054945054945055,0.006962760643762053,0.08517456714103357
mean concave points,0.048343951648351646,0.049340314583000776,0.03892455260574138,0.0389319096202966,0.025597286749601992,0.07692307692307693,0.0028675613603020467,0.07366973204154646
mean symmetry,0.180618021978022,0.178273925307419,0.028074412300790167,0.02908602081213031,0.08349584117694973,0.05714285714285714,0.00300812207478944,0.10714817615985411
mean fractal dimension,0.06281978021978021,0.06259595288149157,0.007159418610575729,0.007041067109632582,0.031263340008923404,0.06153846153846154,0.0006936052061055801,0.09688010211904671
radius error,0.39897186813186813,0.4109957416299252,0.26782509727634546,0.2556802795586318,0.044894498761819425,0.07912087912087912,0.027334206924430664,0.10205991597653326
texture error,1.2187292307692308,1.2221388935888977,0.5715227821630082,0.5135926384550892,0.0059659263393885675,0.10989010989010989,0.0920635444670621,0.16108464498761482
perimeter error,2.8225501098901096,2.9199846715015756,1.9734745390539097,1.885236197570266,0.04937208952195374,0.07032967032967033,0.21637410640121216,0.10964119481619593
area error,39.24374725274725,40.897785611642675,41.76319667421537,39.44588765094992,0.0396051665249234,0.07692307692307693,4.441364314466146,0.10634636876846755
smoothness error,0.007083657142857143,0.007162989452202243,0.0031353538813800926,0.0031266235057989715,0.0253025056649046,0.11208791208791209,0.0007116695073768427,0.2269821954080623
compactness error,0.02553798021978022,0.025198979523327565,0.018466732937026227,0.01752174242010471,0.018357372557922833,0.0989010989010989,0.002202610836489124,0.11927452701028876
concavity error,0.032552482637362636,0.033479297650122725,0.03237025548146772,0.032063273477105914,0.02863168668195095,0.07912087912087912,0.0029944480664968525,0.09250616104068757
concave points error,0.011672782417582418,0.01181739659726736,0.006289718453434837,0.006313609240681017,0.022992154697475762,0.05714285714285714,0.0006071538004190147,0.09653115714383781
symmetry error,0.020778830769230767,0.021180979985383805,0.008763886319346824,0.007685446867779817,0.04588708724635873,0.16483516483516483,0.0023131758108204067,0.26394406847952
fractal dimension error,0.003797283736263736,0.0037923141812140028,0.002780122846895767,0.0025431923415898546,0.001787530739975088,0.0945054945054945,0.0003537538984381342,0.12724398090290479
worst radius,16.17722637362637,16.29124817991139,4.770019500898343,4.915132185988919,0.02390384489278143,0.03956043956043956,0.26760102255059065,0.05610061394931259
worst texture,25.647296703296703,25.502138896524542,6.225469919270192,6.056099070520952,0.02331676301620907,0.04835164835164835,0.49552721942293326,0.07959675748959745
worst perimeter,106.62529670329671,107.51464260851803,33.195052678428866,34.361101050419315,0.02679151962302028,0.03956043956043956,2.081568084017382,0.06270717821062675
worst area,869.0265934065934,883.461154361324,552.926911565646,570.0658188683867,0.02610573052749102,0.05054945054945055,42.08205152445113,0.07610780131011033
worst smoothness,0.13232892307692307,0.13128595932759174,0.022550210201131498,0.023451843562314726,0.04625073292128312,0.054945054945054944,0.001774951325304884,0.07871107672494435
worst compactness,0.25432857142857146,0.25036850089905954,0.15988196627658074,0.16504510405447906,0.024768712955789945,0.05934065934065934,0.011421912087767872,0.07143965234959045
worst concavity,0.2765781912087912,0.27901147418821903,0.2159365650765272,0.21806099037265259,0.011268508316623013,0.041758241758241756,0.012609624897396199,0.05839504251133841
worst concave points,0.11390433186813187,0.1138721538656434,0.06678394559852541,0.06735751960272615,0.0004818224230403356,0.03296703296703297,0.002624955322771227,0.03930518479023776
worst symmetry,0.29086527472527474,0.289369361862617,0.06462445104259315,0.06634074675307718,0.023147784445732067,0.054945054945054944,0.007116456598998318,0.11012018646484056
worst fractal dimension,0.08394461538461538,0.08357302238602729,0.01840772120053645,0.018390496286971602,0.020186800665867425,0.05714285714285714,0.001393147759632313,0.07568279334824524
